name,domain,what,region,website,github,linkedin_org,community_url,events_url,linkedin_people,tags,related_to,source,founding_year,takes_contributors,careers_url,last_verified
Access Advisors,disability & accessibility tech,"Access Advisors is a New Zealand digital accessibility consultancy that helps organisations, including government agencies and banks, test and design websites and services so they work for disabled people, using a panel of disabled testers with real assistive technology.",national,https://accessadvisors.nz,,,,,,accessibility; disability; consulting; WCAG; assistive technology,Blind Low Vision NZ; Be. Lab,accessadvisors.nz homepage (verified via WebFetch),,,,2026-08-05
Access Matters Aotearoa (Access Alliance),disability & accessibility tech,"Access Matters Aotearoa (originally the Access Alliance, formed in 2017 with support from Blind Low Vision NZ) is a coalition of disabled people's organisations campaigning for an Accessibility Act that would require services and technology across New Zealand to be accessible to disabled people.",national,https://www.accessmatters.org.nz,,,,,,accessibility; disability advocacy; legislation; coalition,Blind Low Vision NZ,accessmatters.org.nz (verified via WebFetch); founding history from abcnz.org.nz (Blind Citizens NZ) found via web search,,,,2026-08-05
ActionStation,human-rights tech,"ActionStation is a New Zealand digital campaigning organisation that helps everyday people run online petitions and coordinated campaigns on issues like Te Tiriti o Waitangi (the Treaty of Waitangi), climate justice, and welfare.",Wellington,https://actionstation.org.nz,,https://nz.linkedin.com/company/actionstation,,,,digital campaigning; advocacy; petitions; Te Tiriti,,actionstation.org.nz (verified via WebFetch); Wikipedia page for co-director Kassie Hartendorp found via web search,,,,2026-08-05
AI Forum New Zealand,tech-ethics / responsible-AI,"AI Forum New Zealand is a member organisation that brings together businesses, researchers, and government to guide artificial intelligence in New Zealand, running working groups on AI governance and a Māori AI Advisory Panel to help make sure AI is developed responsibly and inclusively.",national,https://aiforum.org.nz,,,,,,responsible AI; tech ethics; industry network; AI governance,Te Mana Raraunga,aiforum.org.nz homepage (verified via WebFetch),,,,2026-08-05
AI Safety Aotearoa,tech-ethics / responsible-AI,"AI Safety Aotearoa is an independent public education initiative that explains AI risks and safety in plain language for New Zealanders, covering topics like deepfakes, data sovereignty, algorithmic bias and election integrity through explainers, research and community events.",Wellington,https://www.aisafetyaotearoa.org,,,,,,AI safety; AI ethics; public education; responsible AI; advocacy,,"aisafetyaotearoa.org homepage and get-involved page, verified via WebFetch 2026-08-06",2025,true,https://www.aisafetyaotearoa.org/get-involved,2026-08-06
ALTER (Advancing Law and Technology Responsibly),legal-aid / justice tech,"ALTER is a University of Auckland Law School initiative that runs a student hackathon, fellowships, and publications to build technology that improves access to legal and social support in New Zealand, while thinking carefully about the ethics of that technology.",Auckland,https://www.alter.auckland.ac.nz/,,,,,,legal tech; hackathon; university; access to justice; responsible tech,OpenLaw NZ; Wellington Community Justice Project,alter.auckland.ac.nz/hackathon (verified via WebFetch),,,,2026-08-05
Amnesty International Aotearoa New Zealand,human-rights tech,"Amnesty International Aotearoa New Zealand is the local chapter of the global human rights movement, established in 1965, that runs online petitions, letter-writing actions, and digital campaigns on issues like refugee rights and climate justice.",Auckland,https://amnesty.org.nz,,,,,,human rights; digital campaigning; advocacy; non-profit,ActionStation,amnesty.org.nz/who-we-are (verified via WebFetch),,,,2026-08-05
Amotai,iwi / Māori tech initiatives,"Amotai is Aotearoa's supplier diversity intermediary, connecting public and private sector buyers with over 2,200 verified Māori and Pasifika-owned businesses, including more than 100 tech suppliers working across AI, cybersecurity, automation, and digital services. Founded in 2018 within Auckland Council, it now operates nationally, helping grow Māori and Pasifika business capability and increasing the share of procurement contracts awarded to these communities.",national,https://amotai.nz,,https://nz.linkedin.com/company/amotai,,,,māori-business; pasifika-business; supplier-diversity; procurement; economic-equity,,amotai.nz confirmed active via web search; Amotai Supplier Diversity Awards 2025 event confirmed via OurAuckland (August 2025); founding in 2018 at Auckland Council confirmed by multiple sources including The Spinoff and Amotai's own founding story page; verified via web search 2026-08-05,2018,false,,2026-08-05
Aotearoa Food Rescue Alliance,food-rescue / food-security tech,"The Aotearoa Food Rescue Alliance (AFRA) is the national peak body for food rescue organisations in New Zealand, providing sector coordination, shared data collection through a sector data portal, and advocacy to government on food security policy.",national,https://afra.org.nz,,https://nz.linkedin.com/company/aotearoa-food-rescue-alliance,,,,food rescue; food security; advocacy; data; national,KiwiHarvest; Kaibosh; Everybody Eats,"Web search confirmed via afra.org.nz/about-us/, waiwaste.org.nz/about/aotearoa-food-rescue-alliance/, LinkedIn company page, and Facebook page showing active posts in 2025; direct site fetch blocked by bot protection (403) (verified 2026-08-05)",2021,,,2026-08-05
Aotearoa Resettled Community Coalition (ARCC),refugee / migrant support tech,"The Aotearoa Resettled Community Coalition is an Auckland umbrella charity representing 26 member organisations from former refugee communities, helping people find housing, healthcare, and legal services, and giving them a collective voice on resettlement issues.",Auckland,https://arcc.org.nz/,,,,,,refugee support; resettlement; umbrella organisation; non-profit,Belong Aotearoa; ChangeMakers Resettlement Forum,"arcc.org.nz homepage (verified via curl, HTTP 200); web search of arcc.org.nz about-us page",,,,2026-08-05
